"Name","Slug","MinPrice","DiscountPercent","ShortDescription","Description","Brand","Status","CategoryIDs"
"JBL Flip 6","jbl-flip-6","119","25","Loa di động bền bỉ","Chống nước IP67 và âm thanh mạnh mẽ cho mọi cuộc vui","JBL","active","12"
"Logitech MX Master 3S","logitech-mx-master-3s","99","10","Chuột văn phòng tốt nhất","Cuộn siêu nhanh và thiết kế công thái học tuyệt vời","Logitech","active","12"
"Keychron K2 V2","keychron-k2-v2","79","15","Bàn phím cơ quốc dân","Phù hợp cho cả Mac và Windows với thiết kế gọn gàng","Keychron","active","12"
"Razer DeathAdder V3 Pro","razer-deathadder-v3-pro","149","12","Chuột gaming siêu nhẹ","Cảm biến quang học chính xác nhất thế giới","Razer","active","12"
"Corsair K100 RGB","corsair-k100-rgb","249","20","Bàn phím gaming flagship","Switch quang học siêu nhanh và dải đèn RGB rực rỡ","Corsair","active","12"
"Samsung Galaxy Tab S9 Ultra","samsung-galaxy-tab-s9-ultra","1099","15","Máy tính bảng Android tốt nhất","Màn hình AMOLED 14.6 inch cực đại và chống nước IP68","Samsung","active","13"
"Xiaomi Pad 6 Pro","xiaomi-pad-6-pro","499","10","Máy tính bảng hiệu năng cao giá tốt","Màn hình 144Hz mượt mà và sạc siêu nhanh","Xiaomi","active","13"
"Microsoft Surface Pro 9","microsoft-surface-pro-9","999","20","Máy tính bảng lai laptop","Sự linh hoạt tuyệt vời khi kết hợp giữa tablet và PC","Microsoft","active","13"
"Huawei MatePad Pro 13.2","huawei-matepad-pro-13-2","899","12","Màn hình OLED linh hoạt mỏng nhẹ","Máy tính bảng mỏng nhất thế giới với viền siêu mỏng","Huawei","active","13"
"Galaxy Watch 6 Classic","galaxy-watch-6-classic","349","15","Đồng hồ Samsung vòng xoay vật lý","Thiết kế cổ điển với các tính năng theo dõi sức khỏe chuyên sâu","Samsung","active","14"
"Garmin Fenix 7 Pro","garmin-fenix-7-pro","799","10","Đồng hồ thể thao chuyên nghiệp","Pin năng lượng mặt trời và bản đồ chi tiết cho thám hiểm","Garmin","active","14"
"Huawei Watch GT 4","huawei-watch-gt-4","249","18","Thời trang và pin trâu","Thiết kế sang trọng như đồng hồ truyền thống","Huawei","active","14"
"Xiaomi Watch S3","xiaomi-watch-s3","149","20","Đồng hồ thông minh thay được viền","Tùy biến phong cách dễ dàng với HyperOS","Xiaomi","active","14"
"Amazfit T-Rex Ultra","amazfit-t-rex-ultra","399","12","Đồng hồ siêu bền bỉ","Chống chịu mọi điều kiện khắc nghiệt chuẩn quân đội","Amazfit","active","14"
"Sony Xperia 5 V","sony-xperia-5-v","899","10","Smartphone cao cấp nhỏ gọn","Trải nghiệm âm thanh và hình ảnh chuẩn Sony trong lòng bàn tay","Sony","active","1"
"Asus Zenfone 10","asus-zenfone-10","699","15","Smartphone mini mạnh mẽ nhất","Kích thước 5.9 inch lý tưởng cho việc sử dụng một tay","ASUS","active","1"
"Motorola Edge 40 Pro","motorola-edge-40-pro","749","20","Màn hình cong tràn cạnh","Trải nghiệm mượt mà với màn hình 165Hz","Motorola","active","1"
"Redmi Note 13 Pro+","redmi-note-13-pro-plus","399","12","Sát thủ tầm trung","Camera 200MP và sạc nhanh 120W","Xiaomi","active","1"
"Poco F5 Pro","poco-f5-pro","449","18","Hiệu năng trên giá thành cực tốt","Màn hình 2K và chip Snapdragon 8+ Gen 1","Xiaomi","active","1"
"Honor Magic 6 Pro","honor-magic-6-pro","999","10","Camera hàng đầu DxOMark","Công nghệ pin silicon-carbon mới và màn hình bảo vệ mắt","Honor","active","1"
"Realme GT 5","realme-gt-5","549","15","Sạc siêu nhanh 240W","Thiết kế mặt lưng kính độc đáo và cấu hình mạnh","Realme","active","1"
"Nubia Red Magic 9 Pro","nubia-red-magic-9-pro","749","10","Điện thoại gaming thiết kế phẳng","Quạt tản nhiệt tích hợp và camera ẩn dưới màn hình","Nubia","active","1"
"Meizu 21 Pro","meizu-21-pro","799","12","Thiết kế tối giản sang trọng","Màn hình 2K LTPO và cảm biến vân tay siêu âm","Meizu","active","1"
"ZTE Axon 60 Ultra","zte-axon-60-ultra","899","8","Bảo mật vệ tinh kép","Smartphone đầu tiên hỗ trợ liên lạc vệ tinh hai chiều","ZTE","active","1"
"Fairphone 5","fairphone-5","699","5","Smartphone bền vững dễ sửa chữa","Hỗ trợ cập nhật phần mềm lên đến 8 năm","Fairphone","active","1"
"Dell Inspiron 16 Plus","dell-inspiron-16-plus","1099","15","Laptop làm việc hiệu năng cao","Màn hình lớn 3K và card đồ họa rời RTX","Dell","active","5"
"HP Envy x360 15","hp-envy-x360-15","899","18","Laptop đa năng giá hợp lý","Màn hình cảm ứng xoay gập 360 độ tiện lợi","HP","active","5"
"Lenovo ThinkPad X1 Carbon G12","lenovo-thinkpad-x1-carbon-g12","1699","10","Laptop doanh nhân bền bỉ nhất","Trọng lượng siêu nhẹ và bàn phím huyền thoại","Lenovo","active","5"
"Asus TUF Gaming A15","asus-tuf-gaming-a15","1199","20","Laptop gaming bền bỉ giá tốt","Cấu hình AMD Ryzen mạnh mẽ và tản nhiệt cải tiến","ASUS","active","5"
"Acer Predator Helios Neo 16","acer-predator-helios-neo-16","1299","15","Laptop gaming tầm trung mạnh mẽ","Thiết kế hầm hố với hiệu năng chơi game ổn định","Acer","active","5"
"HP Victus 16","hp-victus-16","849","22","Laptop gaming thiết kế thanh lịch","Phù hợp cho cả chơi game và làm việc văn phòng","HP","active","5"
"MSI Stealth 14 Studio","msi-stealth-14-studio","1599","12","Laptop gaming mỏng nhẹ cao cấp","Vỏ hợp kim magie nhôm siêu bền và nhẹ","MSI","active","5"
"Razer Blade 14","razer-blade-14","1999","10","Laptop gaming 14 inch mạnh nhất","Trang bị chip AMD Ryzen 9 đời mới nhất","Razer","active","5"
"Lenovo Legion Slim 5","lenovo-legion-slim-5","1149","15","Sự cân bằng giữa mỏng và mạnh","Hệ thống tản nhiệt Legion Coldfront 5.0","Lenovo","active","5"
"Apple Watch Hermès Series 9","apple-watch-hermes-s9","1249","2","Sự kết hợp giữa công nghệ và thời trang","Dây đeo da thủ công từ Hermès Pháp","Apple","active","14"
"Samsung Galaxy Watch 6","samsung-galaxy-watch-6","299","20","Smartwatch Android phổ biến nhất","Theo dõi giấc ngủ và thành phần cơ thể chính xác","Samsung","active","14"
"Garmin Forerunner 965","garmin-forerunner-965","599","12","Đồng hồ chạy bộ màn hình AMOLED","GPS đa băng tần và bản đồ tích hợp","Garmin","active","14"
"Apple Watch SE 2","apple-watch-se-2","249","15","Lựa chọn Apple Watch giá tốt","Đầy đủ các tính năng an toàn và theo dõi vận động","Apple","active","14"
"Huawei Watch Buds","huawei-watch-buds","449","10","Đồng hồ tích hợp tai nghe độc đáo","Thiết kế sáng tạo giúp bạn không bao giờ quên tai nghe","Huawei","active","14"
"Fitbit Sense 2","fitbit-sense-2","299","25","Đồng hồ quản lý căng thẳng","Cảm biến cEDA theo dõi phản ứng cơ thể suốt cả ngày","Fitbit","active","14"
"TicWatch Pro 5","ticwatch-pro-5","349","18","Wear OS với pin cực trâu","Màn hình lớp kép tiết kiệm năng lượng thông minh","Mobvoi","active","14"
"Amazfit GTR 4","amazfit-gtr-4","199","30","Smartwatch pin 14 ngày","Hỗ trợ hơn 150 chế độ thể thao và GPS mạnh mẽ","Amazfit","active","14"
"Withings ScanWatch 2","withings-scanwatch-2","349","10","Đồng hồ Hybrid theo dõi y tế","Đo nhiệt độ cơ thể và ECG chuẩn y khoa","Withings","active","14"
"Suunto Race","suunto-race","449","15","Đồng hồ thể thao màn hình AMOLED","Bản đồ ngoại tuyến miễn phí và pin bền bỉ","Suunto","active","14"
"AirPods 3","airpods-3","169","15","Tai nghe Apple thiết kế mới","Hỗ trợ âm thanh không gian và kháng nước IPX4","Apple","active","12"
"Beats Studio Pro","beats-studio-pro","349","20","Tai nghe chụp tai phong cách Beats","Chất âm bass mạnh mẽ và chống ồn chủ động","Beats","active","12"
"JBL Tour Pro 2","jbl-tour-pro-2","249","18","Tai nghe với hộp sạc thông minh","Màn hình cảm ứng trên hộp sạc để điều khiển nhanh","JBL","active","12"
"Sony WF-1000XM5","sony-wf-1000xm5","299","15","Tai nghe TWS chống ồn tốt nhất","Thiết kế nhỏ gọn hơn và chất lượng cuộc gọi đỉnh cao","Sony","active","12"
"Sennheiser Momentum True Wireless 4","sennheiser-mtw4","299","12","Chất âm Sennheiser đặc trưng","Hỗ trợ Snapdragon Sound và aptX Lossless","Sennheiser","active","12"
"Jabara Elite 10","jabra-elite-10","249","20","Tai nghe thoải mái nhất","Thiết kế semi-open cho cảm giác đeo cả ngày không đau tai","Jabra","active","12"
"Soundcore Liberty 4 NC","soundcore-liberty-4-nc","99","30","Chống ồn vượt trội tầm giá","Khả năng giảm tiếng ồn lên đến 98.5%","Soundcore","active","12"
"SteelSeries Arctis Nova Pro","steelseries-arctis-nova-pro","349","15","Tai nghe gaming đa nền tảng","Hệ thống âm thanh Nova Pro và GameDAC Gen 2","SteelSeries","active","12"
"HyperX Cloud III","hyperx-cloud-iii","99","25","Huyền thoại tai nghe gaming trở lại","Đệm tai memory foam và khung kim loại cực bền","HyperX","active","12"
"Razer BlackShark V2 Pro","razer-blackshark-v2-pro","199","18","Tai nghe cho game thủ chuyên nghiệp","Microphone siêu rộng và âm thanh định vị THX","Razer","active","12"
"Kindle Paperwhite 5","kindle-paperwhite-5","149","15","Máy đọc sách phổ biến nhất","Màn hình 6.8 inch và đèn nền vàng chống mỏi mắt","Amazon","active","13"
"Kobo Libra 2","kobo-libra-2","179","12","Máy đọc sách có nút bấm vật lý","Thiết kế công thái học và hỗ trợ nhiều định dạng file","Kobo","active","13"
"Boox Note Air 3","boox-note-air-3","399","10","Máy tính bảng E-Ink làm việc","Màn hình đơn sắc cho trải nghiệm viết vẽ như trên giấy","Boox","active","13"
"Lenovo Tab P12","lenovo-tab-p12","349","20","Máy tính bảng giải trí màn hình lớn","Màn hình 12.7 inch 3K và hệ thống 4 loa JBL","Lenovo","active","13"
"iPad Mini 6","ipad-mini-6","499","18","Sức mạnh Pro trong lòng bàn tay","Thiết kế nhỏ gọn với chip A15 Bionic mạnh mẽ","Apple","active","13"
"Xiaomi Pad 6","xiaomi-pad-6","349","25","Máy tính bảng quốc dân","Vỏ nhôm nguyên khối và màn hình 144Hz sắc nét","Xiaomi","active","13"
"Anker 737 Power Bank","anker-737-power-bank","149","25","Sạc dự phòng 140W cực mạnh","Dung lượng 24.000mAh và sạc nhanh cho cả laptop","Anker","active","12"
"Ugreen Nexode 100W","ugreen-nexode-100w","69","30","Sạc GaN 4 cổng đa năng","Sạc cùng lúc cho MacBook, iPhone và iPad","Ugreen","active","12"
"Belkin BoostCharge Pro 3-in-1","belkin-boostcharge-pro-3-in-1","149","10","Đế sạc MagSafe cao cấp","Sạc đồng thời iPhone, Apple Watch và AirPods","Belkin","active","12"
"Logitech MX Keys S","logitech-mx-keys-s","109","12","Bàn phím văn phòng hoàn hảo","Đèn nền thông minh và phím gõ êm ái","Logitech","active","12"
"SteelSeries Apex Pro TKL","steelseries-apex-pro-tkl","189","15","Bàn phím cơ nhanh nhất thế giới","Switch OmniPoint 2.0 có thể tùy chỉnh điểm nhận lệnh","SteelSeries","active","12"
"Razer Huntsman V3 Pro","razer-huntsman-v3-pro","249","10","Bàn phím quang học chuyên game","Hỗ trợ tính năng Rapid Trigger siêu nhạy","Razer","active","12"
"Shure MV7","shure-mv7","249","15","Microphone podcast chuyên nghiệp","Cổng kết nối kép USB và XLR linh hoạt","Shure","active","12"
"Elgato Stream Deck MK.2","elgato-stream-deck-mk2","149","10","Bàn điều khiển cho Streamer","15 phím LCD có thể lập trình không giới hạn","Elgato","active","12"
"WD Black SN850X 2TB","wd-black-sn850x-2tb","159","20","Ổ cứng SSD gaming siêu tốc","Tốc độ đọc lên đến 7300MB/s chuẩn PCIe Gen4","WD","active","12"
"Samsung 990 Pro 1TB","samsung-990-pro-1tb","99","25","Ổ cứng SSD tốt nhất thị trường","Hiệu năng cực cao và tản nhiệt thông minh","Samsung","active","12"
"Sandisk Extreme Portable SSD 1TB","sandisk-extreme-portable-ssd-1tb","119","30","Ổ cứng di động siêu bền","Chống nước, chống bụi và chống va đập","SanDisk","active","12"
"DJI Osmo Pocket 3","dji-osmo-pocket-3","519","5","Camera gimbal cầm tay 4K","Cảm biến 1 inch và màn hình xoay thông minh","DJI","active","12"
"GoPro Hero 12 Black","gopro-hero-12","399","15","Camera hành động chuyên nghiệp","Khả năng chống rung HyperSmooth 6.0 đỉnh cao","GoPro","active","12"
"Insta360 X3","insta360-x3","449","12","Camera 360 độ quay vlog cực đỉnh","Ghi hình 5.7K 360 độ và tính năng gậy selfie ẩn","Insta360","active","12"
